nama_produk,price,image-src,description
"Sepatu Olahraga Pria 169BIN 748","Rp. 127.000","http://sepatucibaduyut.web.id/toko/3242-3915-home/sepatu-olahraga-pria-169bin-748.jpg","Bahan : P.U Ukuran : 38 - 43 Produk : BSM SOGA"
"Sepatu Olahraga Pria 167BSN 115","Rp. 123.000","http://sepatucibaduyut.web.id/toko/3240-3913-home/sepatu-olahraga-pria-167bsn-115.jpg","Bahan : Non Kulit Ukuran : 38 - 43 Produk : BSM SOGA"
"Sepatu Olahraga Pria 168BAY 389","Rp. 136.000","http://sepatucibaduyut.web.id/toko/3241-3914-home/sepatu-olahraga-pria-168bay-389.jpg","Bahan : P.U Ukuran : 38 - 43 Produk : BSM SOGA"
"Sepatu Olahraga Pria 195BAR 361","Rp. 149.000","http://sepatucibaduyut.web.id/toko/3253-3925-home/sepatu-olahraga-pria-195bar-361.jpg","Bahan : P.U Ukuran : 38 - 43 Produk : BSM SOGA"
"Olahraga Pria 683 617-02","Rp. 163.000","http://sepatucibaduyut.web.id/toko/6290-7021-home/olahraga-pria-683-617-02.jpg","Bahan : Synt Sol : TPR Ukuran : 38 - 43 Warna : Biru Kombinasi Merk : Azzurra"
"Sepatu Olahraga Pria 175BAY 383","Rp. 144.000","http://sepatucibaduyut.web.id/toko/3249-3921-home/sepatu-olahraga-pria-175bay-383.jpg","Bahan : P.U Ukuran : 38 - 43 Produk : BSM SOGA"
"Sepatu Olahraga Pria 154BEN 076","Rp. 144.000","http://sepatucibaduyut.web.id/toko/3230-3996-home/sepatu-olahraga-pria-154ben-076.jpg","Bahan : Kulit Ukuran : 38 - 43 Produk : BSM SOGA"
"Sepatu Olahraga R 264","Rp. 239.000","http://sepatucibaduyut.web.id/toko/5585-6298-home/sepatu-olahraga-r-264.jpg","Bahan : PU-PVC Sol : Pylon Ukuran : 38 - 43 Warna : HtmBiru Merk : Garsel Shoes"
"Sepatu Olahraga Pria 153BEN 086","Rp. 144.200","http://sepatucibaduyut.web.id/toko/3229-3902-home/sepatu-olahraga-pria-153ben-086.jpg","Bahan : Non Kulit Ukuran : 38 - 43 Produk : BSM SOGA"
"Sepatu Olahraga R 292","Rp. 174.000","http://sepatucibaduyut.web.id/toko/5605-6318-home/sepatu-olahraga-r-292.jpg","Bahan : Kulit Sol : Karet Ukuran : 38 - 43 Warna : Abu Merk : Garsel Shoes"
"Sepatu Olahraga R 262","Rp. 201.000","http://sepatucibaduyut.web.id/toko/5583-6296-home/sepatu-olahraga-r-262.jpg","Bahan : PU-PVC Sol : Karet Ukuran : 39 - 43 Warna : Biru Merk : Garsel Shoes"
"Sepatu Olahraga Pria 149BEN 073","Rp. 144.000","http://sepatucibaduyut.web.id/toko/3225-3898-home/sepatu-olahraga-pria-149ben-073.jpg","Bahan : Kulit Ukuran : 38 - 43 Produk : BSM SOGA"
